name,address,city,country,n_porches,n_flats,n_floors,n_occupants
"Верхняя ул, дом 1","Верхняя ул., д.1",Москва,Россия,1,69,9,2432
"Верхняя ул, дом 3, к 1","Верхняя ул., д.3, к.1",Москва,Россия,1,70,9,2955
"Верхняя ул, дом 14","Верхняя ул., д.14",Москва,Россия,1,72,9,2806
"Верхняя ул, дом 18","Верхняя ул., д.18",Москва,Россия,1,98,14,4213
"Верхняя ул, дом 3, к 2","Верхняя ул., д.3, к.2",Москва,Россия,1,70,9,2882
"ул Верхняя Масловка, дом 4","Масловка Верхн. ул., д.4",Москва,Россия,1,68,9,2469
"ул Верхняя Масловка, дом 6","Масловка Верхн. ул., д.6",Москва,Россия,4,80,5,3535
"ул Верхняя Масловка, дом 16","Масловка Верхн. ул., д.16",Москва,Россия,1,85,16,4839
"ул Верхняя Масловка, дом 8","Масловка Верхн. ул., д.8",Москва,Россия,4,80,5,3365
"ул Верхняя Масловка, дом 12","Масловка Верхн. ул., д.12",Москва,Россия,4,80,5,3380
"ул Верхняя Масловка, дом 20","Масловка Верхн. ул., д.20",Москва,Россия,3,36,7,2631
"ул Верхняя Масловка, дом 28","Масловка Верхн. ул., д.28",Москва,Россия,2,114,19,10747
"ул Верхняя Масловка, дом 2","Масловка Верхн. ул., д.2",Москва,Россия,1,68,9,2450
"ул Верхняя Масловка, дом 22","Масловка Верхн. ул., д.22",Москва,Россия,3,84,8,4936
"ул Верхняя Масловка, дом 10","Масловка Верхн. ул., д.10",Москва,Россия,3,95,8,3980
"ул Верхняя Масловка, дом 24","Масловка Верхн. ул., д.24",Москва,Россия,4,109,7,7525
"ул Верхняя Масловка, дом 28, к 2","Масловка Верхн. ул., д.28, к.2",Москва,Россия,1,60,11,5071
"ул Викторенко, дом 8А","Викторенко ул., д.8А",Москва,Россия,3,44,4,2705
"ул Викторенко, дом 12/1","Викторенко ул., д.12/1",Москва,Россия,3,64,6,2668
"ул Викторенко, дом 14","Викторенко ул., д.14",Москва,Россия,3,40,4,2709
"ул Викторенко, дом 4, к 1","Викторенко ул., д.4, к.1",Москва,Россия,6,276,19,30397
"ул Викторенко, дом 3","Викторенко ул., д.3",Москва,Россия,4,65,5,4293
"ул Викторенко, дом 12","Викторенко ул., д.12",Москва,Россия,5,75,5,4090
"ул Викторенко, дом 2/1","Викторенко ул., д.2/1",Москва,Россия,3,91,8,6361
"ул Всеволода Вишневского, дом 10","Всеволода Вишневского ул., д.10",Москва,Россия,3,84,8,5836
"ул Всеволода Вишневского, дом 9, к 2","Всеволода Вишневского ул., д.9, к.2",Москва,Россия,3,60,5,2511
"ул Всеволода Вишневского, дом 9, к 1","Всеволода Вишневского ул., д.9, к.1",Москва,Россия,3,60,5,2502
"ул Всеволода Вишневского, дом 11","Всеволода Вишневского ул., д.11",Москва,Россия,3,60,5,2473
"ул Всеволода Вишневского, дом 9","Всеволода Вишневского ул., д.9",Москва,Россия,1,32,9,1423
"ул Всеволода Вишневского, дом 4","ул Всеволода Вишневского, дом 4",Москва,Россия,NULL,NULL,NULL,NULL
"ул Всеволода Вишневского, дом 8","Всеволода Вишневского ул., д.8",Москва,Россия,3,89,8,3871
"ул Вучетича, дом 10, стр 2","ул Вучетича, дом 10, стр 2",Москва,Россия,NULL,NULL,NULL,NULL
"ул Вучетича, дом 14","ул Вучетича, дом 14",Москва,Россия,NULL,NULL,NULL,NULL
"ул Вучетича, дом 8","Вучетича ул., д.8",Москва,Россия,1,84,12,3630
"ул Вучетича, дом 18, к 1","Вучетича ул., д.18, к.1",Москва,Россия,2,4,5,3258
"ул Вучетича, дом 17, к 1","Вучетича ул., д.17, к.1",Москва,Россия,4,69,5,5011
"ул Вучетича, дом 28, к 4","Вучетича ул., д.28, к.4",Москва,Россия,4,60,5,3267
"ул Вучетича, дом 7","Вучетича ул., д.7",Москва,Россия,5,70,5,5346
"ул Вучетича, дом 24","Вучетича ул., д.24",Москва,Россия,4,60,5,3279
"ул Вучетича, дом 4","Вучетича ул., д.4",Москва,Россия,5,73,5,4649
"ул Вучетича, дом 5","Вучетича ул., д.5",Москва,Россия,1,92,12,3451
"ул Вучетича, дом 13","Вучетича ул., д.13",Москва,Россия,1,92,12,3444
"ул Вучетича, дом 11, к 2","Вучетича ул., д.11, к.2",Москва,Россия,2,32,4,2151
"ул Вучетича, дом 28, к 1","Вучетича ул., д.28, к.1",Москва,Россия,4,48,5,2615
"ул Вучетича, дом 16","Вучетича ул., д.16",Москва,Россия,1,84,12,3623
"ул Вучетича, дом 28, к 5","Вучетича ул., д.28, к.5",Москва,Россия,1,92,12,3419
"ул Вучетича, дом 15, к 1","Вучетича ул., д.15, к.1",Москва,Россия,4,66,5,4722
"ул Вучетича, дом 11, к 1","Вучетича ул., д.11, к.1",Москва,Россия,4,68,5,5018
"ул Вучетича, дом 28, к 3","Вучетича ул., д.28, к.3",Москва,Россия,2,28,5,1575
"ул Вучетича, дом 16, к 1","Вучетича ул., д.16, к.1",Москва,Россия,1,83,14,4369
"ул Вучетича, дом 26","Вучетича ул., д.26",Москва,Россия,4,60,5,3260
"ул Вучетича, дом 44","Вучетича ул., д.44",Москва,Россия,1,2,2,142
"ул Вучетича, дом 9, к 1","Вучетича ул., д.9, к.1",Москва,Россия,4,70,5,4967
"ул Вучетича, дом 19","Вучетича ул., д.19",Москва,Россия,1,92,12,3467
"ул Вучетича, дом 28, к 2","Вучетича ул., д.28, к.2",Москва,Россия,2,24,5,1313
"ул Вучетича, дом 22","Вучетича ул., д.22",Москва,Россия,4,64,5,2706
"ул Вучетича, дом 9, к 2","Вучетича ул., д.9, к.2",Москва,Россия,2,32,4,2145
"Вятская ул, дом 51","Вятская ул., д.51",Москва,Россия,4,80,5,3510
"Вятская ул, дом 16","Вятская ул., д.16",Москва,Россия,1,96,12,3603
"Вятская ул, дом 1","Вятская ул., д.1",Москва,Россия,5,160,9,6999
"Вятская ул, дом 53","Вятская ул., д.53",Москва,Россия,4,80,5,3461
"Вятская ул, дом 3","Вятская ул., д.3",Москва,Россия,4,128,9,5518
"4-й Вятский пер, дом 20","Вятский 4-й пер., д.20",Москва,Россия,4,78,5,3369
"4-й Вятский пер, дом 21","Вятский 4-й пер., д.21",Москва,Россия,1,68,9,2435
"4-й Вятский пер, дом 24, к 2","Вятский 4-й пер., д.24, к.2",Москва,Россия,3,60,5,2405
"4-й Вятский пер, дом 23","Вятский 4-й пер., д.23",Москва,Россия,4,144,9,6178
"4-й Вятский пер, дом 18, к 1","4-й Вятский пер, дом 18, к 1",Москва,Россия,NULL,NULL,NULL,NULL
"4-й Вятский пер, дом 24, к 3","Вятский 4-й пер., д.24, к.3",Москва,Россия,3,30,5,2657
"4-й Вятский пер, дом 18, к 3","Вятский 4-й пер., д.18, к.3",Москва,Россия,2,111,16,9475
"4-й Вятский пер, дом 33/47","Вятский 4-й пер., д.33/47",Москва,Россия,1,64,8,2183
"4-й Вятский пер, дом 16, к 1","Вятский 4-й пер., д.16, к.1",Москва,Россия,2,67,10,5881
"4-й Вятский пер, дом 16, к 2","Вятский 4-й пер., д.16, к.2",Москва,Россия,3,129,14,10090
"4-й Вятский пер, дом 24, к 1","Вятский 4-й пер., д.24, к.1",Москва,Россия,3,39,5,2633
"4-й Вятский пер, дом 22Б","Вятский 4-й пер., д.22Б",Москва,Россия,1,72,9,3177
"4-й Вятский пер, дом 35","Вятский 4-й пер., д.35",Москва,Россия,1,119,16,5039
"4-й Вятский пер, дом 27","Вятский 4-й пер., д.27",Москва,Россия,4,144,9,6167
"4-й Вятский пер, дом 18, к 2","Вятский 4-й пер., д.18, к.2",Москва,Россия,6,213,14,16858
"4-й Вятский пер, дом 22","Вятский 4-й пер., д.22",Москва,Россия,4,60,5,2524
"4-й Вятский пер, дом 18, к 4","Вятский 4-й пер., д.18, к.4",Москва,Россия,2,80,12,6787
"4-й Вятский пер, дом 37","Вятский 4-й пер., д.37",Москва,Россия,1,68,9,2445
"4-й Вятский пер, дом 14","Вятский 4-й пер., д.14",Москва,Россия,1,107,16,5177
