84,"2-я ул Бебеля, дом 38, к 2","Бебеля 2-я ул., д.38, к.2","Москва","Россия",2,5,30,1632,,,37.5705664,55.7963954,"2014-06-22 22:35:32.536329","2014-06-22 19:27:00.468371"
85,"Беговая ул, дом 2","Беговая ул., д.2","Москва","Россия",5,8,139,9098,,,37.5562449,55.77481,"2014-06-22 22:35:32.549347","2014-06-22 19:27:00.733923"
86,"Беговая ул, дом 4","Беговая ул., д.4","Москва","Россия",5,7,72,5951,,,37.555037,55.775466,"2014-06-22 22:35:32.562337","2014-06-22 19:27:01.081569"
87,"Беговая аллея, дом 5, к 2","Беговая аллея, д.5, к.2","Москва","Россия",1,12,58,3182,,,37.564225,55.782088,"2014-06-22 22:35:32.573663","2014-06-22 19:27:01.277038"
88,"Беговая ул, дом 13","Беговая ул., д.13","Москва","Россия",8,8,117,10154,,,37.558541,55.780819,"2014-06-22 22:35:32.584938","2014-06-22 19:27:01.461301"
89,"Беговая ул, дом 20, к 2","Беговая ул., д.20, к.2","Москва","Россия",2,5,40,1578,,,37.558039,55.7782,"2014-06-22 22:35:32.596708","2014-06-22 19:30:37.671025"
90,"Беговая ул, дом 15","Беговая ул., д.15","Москва","Россия",4,6,84,5392,,,37.557371,55.781744,"2014-06-22 22:35:32.608871","2014-06-22 19:30:38.210972"
91,"Беговая ул, дом 10","Беговая ул., д.10","Москва","Россия",2,5,30,1627,,,37.556312,55.776532,"2014-06-22 22:35:32.621085","2014-06-22 19:30:38.694337"
92,"Беговая аллея, дом 9","Беговая аллея, д.9","Москва","Россия",1,9,72,3026,,,37.563093,55.781439,"2014-06-22 22:35:32.633814","2014-06-22 19:30:39.121617"
93,"Беговая аллея, дом 3","Беговая аллея, д.3","Москва","Россия",7,8,197,13136,,,37.565229,55.782938,"2014-06-22 22:35:32.646564","2014-06-22 19:30:39.560951"
94,"Беговая ул, дом 5","Беговая ул., д.5","Москва","Россия",4,10,122,8208,,,37.5548876,55.7767877,"2014-06-22 22:35:32.657832","2014-06-22 19:30:40.094558"
95,"Беговая ул, дом 16","Беговая ул., д.16","Москва","Россия",3,5,30,2630,,,37.557,55.777451,"2014-06-22 22:35:32.712057","2014-06-22 19:27:02.307139"
96,"Беговая ул, дом 26","Беговая ул., д.26","Москва","Россия",2,13,91,5306,,,37.560287,55.7808749,"2014-06-22 22:35:32.723361","2014-06-22 19:27:02.542983"
97,"Беговая ул, дом 6","Беговая ул., д.6","Москва","Россия",2,12,88,4962,,,37.5566769,55.775689,"2014-06-22 22:35:32.733327","2014-06-22 19:27:02.812975"
98,"Беговая аллея, дом 7, к 2","Беговая аллея, д.7, к.2","Москва","Россия",1,9,72,2971,,,37.564303,55.781457,"2014-06-22 22:35:32.744620","2014-06-22 19:27:03.032755"
99,"Беговая ул, дом 7","Беговая ул., д.7","Москва","Россия",8,10,248,16687,,,37.5557919,55.778043,"2014-06-22 22:35:32.755634","2014-06-22 19:27:03.298059"
100,"Беговая ул, дом 18, к 2","Беговая ул., д.18, к.2","Москва","Россия",1,14,103,5056,,,37.5580039,55.777649,"2014-06-22 22:35:32.768105","2014-06-22 19:27:03.590414"
101,"Беговая ул, дом 11","Беговая ул., д.11","Москва","Россия",7,9,184,12470,,,37.556933,55.779463,"2014-06-22 22:35:32.779775","2014-06-22 19:30:40.620285"
102,"Беговая ул, дом 20, к 1","Беговая ул., д.20, к.1","Москва","Россия",3,5,35,2203,,,37.557315,55.77844,"2014-06-22 22:35:32.791784","2014-06-22 19:30:41.227109"
103,"Беговая аллея, дом 5, к 1","Беговая аллея, д.5, к.1","Москва","Россия",4,5,73,3076,,,37.5633857,55.7822761,"2014-06-22 22:35:32.801687","2014-06-22 19:30:41.681019"
